Atualização;n;Abrangência2;Abrangência1;UF;Município;Empreendimento;Eixo;Subeixo;Modalidade;Classificação;Estágio;Estimativa do valor total do empreendimento no Novo PAC (2023-2030) (R$);Percentual de execução do empreendimento (%);Tipo de Executor
abr/25;2628;Intra Estado;Município;RS;Bagé;Construção de 4 (Quatro) Reservatórios Metálicos para Abastecer os Bairros Ivo Ferronato e Região, São domingos, Floresta e Tiaraju;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;2.947.017,93;;Municipal
abr/25;2868;Intra Estado;Município;RS;Caxias do Sul ;Melhorias no Abastecimento de Água Urbano do Sistema Faxinal;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;27.338.585,00;;Municipal
abr/25;2864;Intra Estado;Município;RS;Cerro Branco;Interligação de Rede de Água e Armazenamento na Área Urbana;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;1.373.401,68;;Municipal
abr/25;1718;Intra Estado;Município;RS;Novo Hamburgo;Ampliação do Sistema de Abastecimento de Água (SAA);Água Para Todos;Abastecimento de água;Retomada, conclusão e novas obras;Obra;Em execução;6.881.045,00;63,8;Municipal
abr/25;2738;Intra Estado;Município;RS;Novo Hamburgo;Implantação de Rede Adutora de Água Tratada no Bairro Canudos;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;12.383.593,00;;Municipal
abr/25;1849;Intra Estado;Município;RS;Panambi;Ampliação do Sistema de Abastecimento de Água (SAA);Água Para Todos;Abastecimento de água;Retomada, conclusão e novas obras;Obra;Em execução;11.657.000,00;99;Estadual
abr/25;360;Intra Estado;Município;RS;Pelotas;Ampliação do Sistema de Abastecimento de Água (SAA);Água Para Todos;Abastecimento de água;Retomada, conclusão e novas obras;Obra;Concluído;891.421,03;100;Municipal
abr/25;1946;Intra Estado;Município;RS;Porto Alegre;Ampliação do Sistema de Abastecimento de Água (SAA) São João;Água Para Todos;Abastecimento de água;Retomada, conclusão e novas obras;Obra;Em execução;58.247.653,00;50,1;Municipal
abr/25;1887;Intra Estado;Município;RS;Porto Alegre;Ampliação do Sistema de Abastecimento de Água (SAA) Ponta do Arado;Água Para Todos;Abastecimento de água;Retomada, conclusão e novas obras;Obra;Em execução;172.779.022,00;36,6;Municipal
abr/25;2880;Intra Estado;Município;RS;Porto Alegre;Nova Captação e Ampliação da EBAB - ETA José Loureiro da Silva;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;35.676.656,00;;Municipal
abr/25;2884;Intra Estado;Município;RS;Porto Alegre;Obras Complementares do Novo Sistema Ponta do Arado e Ampliação do Sistema Belém Novo;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;102.627.865,00;;Municipal
abr/25;2466;Intra Estado;Município;RS;São José das Missões;Abastecimento de Água - Urbano;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;400.000,00;;Municipal
abr/25;2602;Intra Estado;Município;RS;São Leopoldo;Ampliação Reservação Zona Norte;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;55.952.324,15;;Municipal
abr/25;2608;Intra Estado;Município;RS;Teutônia;Aquisição e Construção de dois (02) Reservatórios de Água;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em licitação / Leilão;850.000,00;;Municipal
abr/25;2860;Intra Estado;Município;RS;Teutônia;Instalação de Poços Artesianos - Bairro Canabarro;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em licitação / Leilão;650.000,00;;Municipal
abr/25;2778;Intra Estado;Município;RS;Tio Hugo;Implantação de Sistema de Abastecimento de Água - SAA;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;606.000,00;;Municipal
